problem_ledger_id,title,domain_slug,scope_classification,answer_strength,public_answer_status_label,registry_item_count,related_result_count,answer_url
math-birch-swinnerton-dyer-conjecture,Birch and Swinnerton-Dyer,mathematics,in_scope,structural_constraint,Structurally constrained,4,0,/results/problem-ledger-answers/mathematics/birch-swinnerton-dyer-conjecture/
math-hodge-conjecture,Hodge,mathematics,in_scope,partial_answer,Partially addressed,4,1,/results/problem-ledger-answers/mathematics/hodge-conjecture/
math-langlands-program,Langlands,mathematics,in_scope,partial_answer,Partially addressed,4,1,/results/problem-ledger-answers/mathematics/langlands-program/
math-navier-stokes-existence-smoothness,Navier-Stokes,mathematics,in_scope,structural_constraint,Structurally constrained,6,0,/results/problem-ledger-answers/mathematics/navier-stokes-existence-smoothness/
math-p-vs-np,P vs NP,mathematics,in_scope,partial_answer,Partially addressed,7,1,/results/problem-ledger-answers/mathematics/p-vs-np/
math-poincare-conjecture,Poincare,mathematics,in_scope,full_answer,Internally addressed,3,1,/results/problem-ledger-answers/mathematics/poincare-conjecture/
math-riemann-hypothesis,Riemann Hypothesis,mathematics,in_scope,partial_answer,Partially addressed,3,2,/results/problem-ledger-answers/mathematics/riemann-hypothesis/
math-yang-mills-existence-mass-gap,Yang-Mills Mass Gap,mathematics,in_scope,structural_constraint,Structurally constrained,5,0,/results/problem-ledger-answers/mathematics/yang-mills-existence-mass-gap/
phys-abiogenesis,Abiogenesis,physics,in_scope,structural_constraint,Structurally constrained,7,0,/results/problem-ledger-answers/physics/abiogenesis/
phys-agemetallicity-relation-in-the-galactic-disk,Age–metallicity relation in the Galactic disk,physics,in_scope,structural_constraint,Structurally constrained,4,0,/results/problem-ledger-answers/physics/agemetallicity-relation-in-the-galactic-disk/
phys-alfvenic-turbulence,Alfvénic turbulence,physics,in_scope,structural_constraint,Structurally constrained,9,0,/results/problem-ledger-answers/physics/alfvenic-turbulence/
phys-amorphous-solids,Amorphous solids,physics,in_scope,structural_constraint,Structurally constrained,7,0,/results/problem-ledger-answers/physics/amorphous-solids/
phys-anomalous-magnetic-dipole-moment,Anomalous magnetic dipole moment,physics,in_scope,structural_constraint,Structurally constrained,5,0,/results/problem-ledger-answers/physics/anomalous-magnetic-dipole-moment/
phys-arrow-of-time-e-g-entropy-s-arrow-of-time,Arrow of time (e.g. entropy's arrow of time),physics,in_scope,structural_constraint,Structurally constrained,6,0,/results/problem-ledger-answers/physics/arrow-of-time-e-g-entropy-s-arrow-of-time/
phys-astrophysical-jet,Astrophysical jet,physics,in_scope,full_answer,Internally addressed,3,1,/results/problem-ledger-answers/physics/astrophysical-jet/
phys-ball-lightning,Ball lightning,physics,declared_out_of_scope,not_applicable,Declared out of scope,0,0,/results/problem-ledger-answers/physics/ball-lightning/
